Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	17995.766439244	17996.255226473	0.000	13002.387	0.4888	13002.387	-65.93	[P]
2	Spectrogram 1	1	20211.148900749	20211.542350512	0.000	12696.051	0.3934	12696.051	-66.23	[P]
3	Spectrogram 1	1	22009.300394991	22009.731499256	0.000	13460.621	0.4311	13460.621	-64.99	[P]
4	Spectrogram 1	1	22052.875228062	22053.274730899	0.000	13861.575	0.3995	13861.575	-65.46	[P]
5	Spectrogram 1	1	22056.748073740	22057.118521824	0.000	13460.621	0.3704	13460.621	-65.64	[P]
6	Spectrogram 1	1	22065.018778998	22065.409525262	0.000	14892.601	0.3907	14892.601	-65.30	[P]
7	Spectrogram 1	1	22070.533800774	22070.888510868	0.000	13280.059	0.3547	13280.059	-63.89	[P]
8	Spectrogram 1	1	22083.445538033	22083.818407347	0.000	22968.974	0.3729	22968.974	-67.06	[P]
9	Spectrogram 1	1	30493.780328044	30494.188305183	0.000	12077.691	0.4080	12077.691	-68.71	[P]
10	Spectrogram 1	1	36467.499510270	36479.841914030	2836.635	3695.470	12.3424	858.835	-44.75	Retrieving Audiomoth Echo1; 11:58:40 MDT; July 25, 2024
