Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	2.115066425	28.081944554	217.947	9743.017	25.9669	9525.070	-40.29	AudioMoth IB6; 16:26:02 MST; July 30, 2024; 440546 4476749; Left of Chapin Pass Trail,before summit of Mount Chiquita
2	Spectrogram 1	1	8445.532496828	8446.033873149	0.000	11620.112	0.5014	11620.112	-65.05	[P]
3	Spectrogram 1	1	8449.250914904	8449.685113300	0.000	11217.877	0.4342	11217.877	-66.05	[P]
4	Spectrogram 1	1	8455.868911431	8456.211515379	0.000	12335.196	0.3426	12335.196	-57.07	[P]
5	Spectrogram 1	1	10513.091569193	10513.491072029	0.000	24000.000	0.3995	24000.000	-44.04	[P]
6	Spectrogram 1	1	14319.764163514	14320.094661315	0.000	11083.799	0.3305	11083.799	-66.04	[P]
7	Spectrogram 1	1	14846.608483384	14846.878829871	0.000	6212.291	0.2703	6212.291	-66.63	[P]
8	Spectrogram 1	1	15538.247899952	15541.363487942	3173.184	5229.050	3.1156	2055.866	-47.78	Retrieving AudioMoth IB6
