Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.081186862	19.466482609	2561.973	4165.211	19.3853	1603.238	-46.79	Audiomoth Echo1; [?] Saddle, [?]; July 26, 2024; 13:48 MDT
3	Spectrogram 1	1	12873.569464816	12873.885203154	0.000	10529.584	0.3157	10529.584	-69.46	[P]
4	Spectrogram 1	1	12878.854644544	12879.240209630	0.000	10722.222	0.3856	10722.222	-70.00	[P]
5	Spectrogram 1	1	12883.930889687	12884.276096770	0.000	10444.444	0.3452	10444.444	-71.79	[P]
6	Spectrogram 1	1	12890.138026993	12890.496268570	0.000	11000.000	0.3582	11000.000	-64.75	[P]
7	Spectrogram 1	1	12899.385138397	12899.788919157	0.000	10821.082	0.4038	10821.082	-71.33	[P]
8	Spectrogram 1	1	16275.382513178	16275.910767705	0.000	24000.000	0.5283	24000.000	-64.09	[P]
9	Spectrogram 1	1	16724.524040391	16753.225641964	4226.721	5878.543	28.7016	1651.822	-48.23	Retrieving Audiomoth Echo1; 18:26:28 MDT; [?] At the end of the trail, just o the left of [?]
