Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	5.234362388	20.213860298	2887.010	3708.631	14.9795	821.621	-41.20	AudioMoth LH; 17:07 MDT; July 17, 2024; [?]
2	Spectrogram 1	1	32.018230610	32.390720143	0.000	7643.766	0.3725	7643.766	-65.79	[P]
3	Spectrogram 1	1	37.195462457	37.547341661	0.000	11751.875	0.3519	11751.875	-64.74	[P]
4	Spectrogram 1	1	3114.640202605	3115.008076318	0.000	10930.253	0.3679	10930.253	-77.40	[P]
5	Spectrogram 1	1	3276.910658415	3277.256139816	0.000	6551.724	0.3455	6551.724	-75.89	[P]
6	Spectrogram 1	1	3424.984638908	3425.340748983	0.000	12530.253	0.3561	12530.253	-68.09	[P]
7	Spectrogram 1	1	3429.727482656	3430.097289272	0.000	13135.658	0.3698	13135.658	-66.40	[P]
8	Spectrogram 1	1	3434.798718638	3435.127435629	0.000	12758.621	0.3287	12758.621	-71.72	[P]
9	Spectrogram 1	1	3442.389088874	3442.752047219	0.000	12616.739	0.3630	12616.739	-67.79	[P]
10	Spectrogram 1	1	3448.382591478	3448.737261818	0.000	12097.820	0.3547	12097.820	-67.42	[P]
11	Spectrogram 1	1	3454.670830598	3455.025050471	0.000	12876.199	0.3542	12876.199	-66.57	[P]
12	Spectrogram 1	1	3526.239687156	3526.599155848	0.000	12443.766	0.3595	12443.766	-69.82	[P]
13	Spectrogram 1	1	3536.109475800	3536.442161593	0.000	12184.307	0.3327	12184.307	-69.58	[P]
14	Spectrogram 1	1	3772.560154679	3789.436522953	3535.658	4789.712	16.8764	1254.054	-47.76	Retrieving AudioMoth LH; 18:10 MST; Around Chappin
